head,relation,tail
1,has_rating,5.6
2,has_rating,6.1
3,has_rating,6.5
4,has_rating,6.2
5,has_rating,6.2
6,has_rating,5.3
7,has_rating,5.5
8,has_rating,5.4
9,has_rating,5.9
10,has_rating,6.9
11,has_rating,5.2
12,has_rating,7.4
13,has_rating,5.7
14,has_rating,7.1
15,has_rating,6.1
16,has_rating,5.9
17,has_rating,4.6
18,has_rating,5.3
19,has_rating,5.3
20,has_rating,5.0
21,has_rating,5.7
22,has_rating,5.1
23,has_rating,5.7
24,has_rating,4.5
25,has_rating,4.2
