head	relation	tail
1	has_genre	Documentary
1	has_genre	Short
1	has_rating	5.6
1	has_director	William K.L. Dickson
2	has_genre	Animation
2	has_genre	Short
2	has_rating	6.1
2	has_director	Émile Reynaud
3	has_genre	Animation
3	has_genre	Comedy
3	has_genre	Short
3	has_genre	Romance
3	has_rating	6.5
3	has_director	Émile Reynaud
4	has_genre	Animation
4	has_genre	Short
4	has_rating	6.2
4	has_director	Émile Reynaud
5	has_genre	Short
5	has_genre	Comedy
5	has_rating	6.2
5	has_director	William K.L. Dickson
6	has_genre	Short
6	has_rating	5.3
6	has_director	William K.L. Dickson
7	has_genre	Short
7	has_genre	Sport
7	has_rating	5.5
7	has_director	William K.L. Dickson
7	has_director	William Heise
8	has_genre	Documentary
8	has_genre	Short
8	has_rating	5.4
8	has_director	William K.L. Dickson
9	has_genre	Romance
9	has_rating	5.9
9	has_director	Alexander Black
10	has_genre	Documentary
10	has_genre	Short
10	has_rating	6.9
10	has_director	Louis Lumière
11	has_genre	Documentary
11	has_genre	Short
11	has_rating	5.2
11	has_director	Max Skladanowsky
12	has_genre	Documentary
12	has_genre	Short
12	has_genre	Action
12	has_rating	7.4
12	has_director	Auguste Lumière
12	has_director	Louis Lumière
13	has_genre	Documentary
13	has_genre	Short
13	has_rating	5.7
13	has_director	Louis Lumière
14	has_genre	Short
14	has_genre	Comedy
14	has_rating	7.1
14	has_director	Alice Guy
14	has_director	Louis Lumière
15	has_genre	Animation
15	has_genre	Short
15	has_rating	6.1
15	has_director	Émile Reynaud
16	has_genre	Documentary
16	has_genre	Short
16	has_rating	5.9
16	has_director	Louis Lumière
17	has_genre	Documentary
17	has_genre	Short
17	has_rating	4.6
17	has_director	Emil Skladanowsky
17	has_director	Max Skladanowsky
18	has_genre	Short
18	has_rating	5.3
18	has_director	Max Skladanowsky
19	has_genre	Short
19	has_genre	Comedy
19	has_rating	5.3
19	has_director	James Williamson
20	has_genre	Documentary
20	has_genre	Short
20	has_genre	Sport
20	has_rating	5.0
20	has_director	Birt Acres
21	has_genre	Documentary
21	has_genre	Short
21	has_rating	5.7
21	has_director	Louis Lumière
22	has_genre	Documentary
22	has_genre	Short
22	has_rating	5.1
22	has_director	Louis Lumière
23	has_genre	Documentary
23	has_genre	Short
23	has_rating	5.7
23	has_director	Louis Lumière
24	has_genre	Short
24	has_genre	News
24	has_rating	4.5
24	has_director	Birt Acres
25	has_genre	Short
25	has_genre	News
25	has_genre	Sport
25	has_rating	4.2
25	has_director	Birt Acres
26	has_genre	Documentary
26	has_genre	Short
26	has_rating	5.7
26	has_director	Louis Lumière
27	has_genre	Documentary
27	has_genre	Short
27	has_rating	5.6
27	has_director	Louis Lumière
28	has_genre	Documentary
28	has_genre	Short
28	has_rating	5.1
28	has_director	Louis Lumière
29	has_genre	Documentary
29	has_genre	Short
29	has_rating	5.9
29	has_director	Louis Lumière
30	has_genre	Documentary
30	has_genre	Short
30	has_rating	5.2
30	has_director	Birt Acres
30	has_director	Robert W. Paul
31	has_genre	Documentary
31	has_genre	Short
31	has_rating	5.5
31	has_director	Louis Lumière
32	has_genre	Short
32	has_rating	5.1
32	has_director	Max Skladanowsky
34	has_genre	Documentary
34	has_genre	Short
34	has_rating	5.3
34	has_director	Georges Méliès
36	has_genre	Drama
36	has_genre	Short
36	has_rating	4.4
36	has_director	William K.L. Dickson
38	has_genre	Documentary
38	has_genre	Short
38	has_genre	Sport
38	has_rating	4.1
38	has_director	William Heise
39	has_genre	Short
39	has_rating	3.7
39	has_director	n
39	has_director	u
39	has_director	l
39	has_director	l
40	has_genre	Documentary
40	has_genre	Short
40	has_rating	4.3
40	has_director	Georges Méliès
41	has_genre	Documentary
41	has_genre	Short
41	has_genre	Action
41	has_genre	Comedy
41	has_genre	Family
41	has_rating	6.7
41	has_director	Louis Lumière
42	has_genre	Documentary
42	has_genre	Short
42	has_rating	4.8
