movieId,title,genres,rating,director,votes,budget,gross
m1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",8.3,a0005124,891522,"30,000,000","373,554,033"
m2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",7.0,a0002653,310269,"50,000,000","262,797,249"
m3,Grumpier Old Men (1995),"['Comedy', 'Romance']",6.7,a0222043,24346,"25,000,000",0
m4,Waiting to Exhale (1995),"['Comedy', 'Drama']",6.0,a0001845,9601,"16,000,000","81,452,156"
m5,Father of the Bride Part II (1995),['Comedy'],6.1,a0796124,34699,"30,000,000",0
m6,Heat (1995),"['Action', 'Crime', 'Thriller']",8.2,a0000520,580268,"60,000,000","120,000,000"
m7,Sabrina (1995),"['Comedy', 'Romance']",6.3,a0001628,36963,"58,000,000","87,313,761"
m8,Tom and Huck (1995),"['Adventure', ""Children's""]",5.5,a0382072,9940,0,0
m9,Sudden Death (1995),['Action'],5.8,a0001382,32328,"35,000,000","44,000,000"
m10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",7.2,a0132709,239629,"60,000,000","352,194,034"
m11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",6.8,a0001661,52971,"62,000,000","47,800,000"
m12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",5.9,a0000316,39048,"30,000,000","682,514"
m13,Balto (1995),"['Animation', ""Children's""]",7.1,a0920425,40001,0,0
m14,Nixon (1995),['Drama'],7.1,a0000231,28872,"50,000,000",0
m15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",5.7,a0001317,26213,"98,000,000",0
m16,Casino (1995),"['Drama', 'Thriller']",8.2,a0000217,468709,"52,000,000",0
m17,Sense and Sensibility (1995),"['Drama', 'Romance']",7.6,a0000487,103121,"16,000,000","135,000,000"
m18,Four Rooms (1995),['Thriller'],6.8,a0005062,98565,"4,000,000",0
m19,Ace Ventura: When Nature Calls (1995),['Comedy'],6.4,a0644203,202963,"30,000,000","212,385,533"
m20,Money Train (1995),['Action'],5.7,a0747849,38946,"68,000,000","77,224,232"
m21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",6.9,a0001756,76170,"30,250,000","115,101,622"
m22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",6.6,a0000750,54621,"20,000,000",0
m23,Assassins (1995),['Thriller'],6.4,a0001149,77797,"50,000,000","83,306,268"
m24,Powder (1995),"['Drama', 'Sci-Fi']",6.6,a0759207,28476,"9,500,000",0
m25,Leaving Las Vegas (1995),"['Drama', 'Romance']",7.5,a0001214,114903,"3,600,000",0
m26,Othello (1995),['Drama'],6.8,a0662529,9071,"11,000,000",0
m27,Now and Then (1995),['Drama'],6.8,a0322128,27138,0,0
m28,Persuasion (1995),['Romance'],7.7,a0585011,9985,"1,000,000",0
m29,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",7.5,a0000466,65016,"18,000,000",0
m30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],7.1,a0955443,5198,0,0
m31,Dangerous Minds (1995),['Drama'],6.6,a0808807,48668,"23,000,000","179,519,401"
