actorId,awards
a0194124,[]
a0344362,[]
a0424711,[]
a0091356,[]
a0682066,['Nominee']
a0911345,[]
a0053390,['Nominee']
a0871406,[]
a0000741,"['Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Winner', None, 'Winner', 'Winner', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner']"
a0495135,[]
a0636823,[]
a0039970,[]
a0710020,"['Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0570033,[]
a0907237,[]
a0004979,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee']"
a0900506,[]
a0000527,"['Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner']"
a0775900,[]
a0601469,[]
