actorId,awards
a0506461,2
a0001104,15
a0001454,5
a0001053,92
a0534084,1
a0864468,2
a0540075,0
a0291205,7
a0198765,8
a0097491,4
a0706182,3
a0721944,6
a0613498,1
a0121673,0
a0314104,0
a0287988,0
a0909825,3
a0004838,7
a0818639,2
a0221265,2
a0109165,3
a0027271,2
a0711114,0
a0776271,2
a0775447,9
a0462277,2
a0586123,30
a0663489,3
a0001775,10
a0000108,25
a0531751,4
a0000568,17
a0893659,10
a0957798,0
a0006487,31
a0227187,3
a0794960,7
a0002700,2
a0605137,17
a0935863,25
a0281598,1
a0006625,10
a0400486,1
a0000180,30
a0318947,0
a0645574,7
a0401680,1
a0620576,1
a0635760,0
a0957263,0
a0602333,1
a0959062,14
a0836328,5
a0050597,3
a0952583,34
a0644467,4
a0517514,2
a0001317,3
a0703954,3
a0201969,4
a0835799,3
a0399524,7
a0006729,2
a0761739,10
a0403774,1
a0431918,7
a0740400,3
a0265363,0
a0733476,1
a0564970,8
a0949597,0
a0925474,0
a0000647,0
a0000264,146
a0293533,6
a0591450,1
a0028297,3
a0776317,4
a0611683,3
a0002338,3
a0625379,0
a0000110,32
a0001554,19
a0005062,21
a0943758,20
a0001040,26
a0688585,0
a0935382,0
a0595131,9
a0122428,3
a0002224,8
a0001904,1
a0169940,1
a0325196,6
a0710919,10
a0870186,7
a0001382,1
a0003836,10
a0873266,6
a0000720,3
a0166836,0
a0005366,10
a0000362,14
a0662529,0
a0005917,19
a0392237,18
a0000853,15
a0002030,14
a0116497,2
a0001528,23
a0856267,8
a0000578,7
a0000419,48
a0087861,8
a2259353,0
a0644203,1
a0798788,2
a0908890,1
a0405336,2
a0003080,6
a0165412,1
a0382776,3
a0437596,0
a0467646,5
a0005713,3
a0564827,4
a0224683,9
a0005139,77
a0106456,11
a0751221,5
a0722221,0
a0002020,37
a0919363,3
a0024622,53
a0254632,7
a0538614,4
a0000436,39
a0510731,2
a0097379,0
a0003423,4
a0001949,5
a0640466,3
a0083279,2
a0627087,0
a0000406,32
a0446109,0
a0253106,0
a0393094,0
a0382072,2
a0000127,11
a0001068,52
a0390844,10
a0474955,0
a0460141,7
a0492087,0
a0796124,2
a0423623,2
a0436284,0
a0384722,1
a0323795,1
a0541677,2
a0939128,2
a0036582,1
a0780833,9
a0586482,33
a0781842,1
a0764776,0
a0651900,13
a0613981,0
a0668500,1
a0466153,58
a0146341,21
a0443411,7
a0001752,30
a0240995,8
a0226016,11
a0000455,2
a0672543,1
a0629387,9
a0213329,0
a0722493,4
a0868153,50
a0281808,5
a0005076,13
a0728688,3
a0001675,37
a0682239,0
a0354279,8
a0835732,0
a0001149,10
a0390822,0
a0688143,14
a0677951,14
a0517597,3
a0219720,2
a0346436,2
a0407842,1
