actorId,awards,nominations
a0240797,1,4.0
a2259353,0,1.0
a0533744,8,9.0
a0381699,0,0.0
a0601963,0,4.0
a0036582,1,0.0
a0205542,1,3.0
a0767022,54,47.0
a0420982,9,22.0
a0001410,17,28.0
a0762263,1,1.0
a0496746,3,8.0
a0000095,135,192.0
a0594503,72,41.0
a0006916,1,5.0
a0808807,8,14.0
a0802248,6,4.0
a0912224,7,6.0
a0925870,1,2.0
a0184323,10,6.0
a0782384,4,7.0
a0951197,0,1.0
a0000837,10,17.0
a0755963,0,6.0
a0196536,0,3.0
a0001040,27,20.0
a0691061,0,1.0
a0000578,7,6.0
a0542752,0,1.0
a0794960,7,1.0
a0331296,13,9.0
a0002340,11,11.0
a0896542,10,11.0
a0385349,0,0.0
a0438989,10,9.0
a0000122,24,8.0
a0838198,3,5.0
a0734747,3,4.0
a0882330,1,1.0
a0002044,2,7.0
a0873266,6,7.0
a0001317,3,12.0
a0714599,0,2.0
a0048491,0,3.0
a0006625,10,6.0
a0858525,8,13.0
a0780764,0,0.0
a0002089,3,5.0
a0789313,3,2.0
a0000399,65,134.0
a0331532,0,0.0
a0000416,25,29.0
a0207357,0,1.0
a0122428,3,3.0
a0834889,0,1.0
a0001175,22,22.0
a0496752,2,9.0
a0001403,39,44.0
a0502752,1,4.0
a0281507,3,11.0
a0507502,0,0.0
a0005540,4,7.0
a0139867,1,1.0
a0000398,43,72.0
a0116497,2,11.0
a0276169,3,5.0
a0000316,26,32.0
a0853380,5,15.0
a0005076,13,6.0
a0780833,9,16.0
a0552140,1,8.0
a0516360,105,87.0
a0002240,0,1.0
a0411631,19,11.0
a0070159,46,38.0
a0226016,11,9.0
a0002653,2,6.0
a0000876,45,104.0
a0238743,1,1.0
a0952360,3,3.0
a0562266,5,3.0
a0000626,27,29.0
a0000709,35,37.0
a0001570,45,80.0
a0443411,7,10.0
a0796923,2,1.0
a0538614,4,16.0
a0222043,1,1.0
a0331193,0,0.0
a0780117,0,0.0
a0928208,0,1.0
a0545099,0,0.0
a0318150,8,9.0
a0277946,12,16.0
a0450387,1,3.0
a0007128,4,4.0
a0366004,5,13.0
a0248054,2,2.0
a0624756,1,0.0
a0542720,10,16.0
a0934912,0,1.0
a0258424,2,1.0
a0309382,12,8.0
a0744035,6,7.0
a0001874,19,14.0
a0466153,58,91.0
a0751102,41,81.0
a0002700,2,10.0
a0000382,56,65.0
a0001628,26,38.0
a0664852,6,3.0
a0000540,0,1.0
a0909026,4,1.0
a0000759,72,162.0
a0218840,14,8.0
a0004056,35,64.0
a0697656,10,10.0
a0000041,64,29.0
a0103756,0,0.0
a0005917,19,8.0
a0642823,6,5.0
a0740400,3,7.0
a0430064,1,0.0
a0580669,3,16.0
a0266255,0,1.0
a0418986,3,0.0
a0000247,19,16.0
a0931095,0,5.0
a0425244,0,0.0
a0368675,0,0.0
a0042472,1,2.0
a0001915,7,15.0
a0957263,0,0.0
a0322515,1,1.0
a0236769,1,0.0
a0540542,0,0.0
a0000389,6,9.0
a0170719,2,2.0
a0020406,0,2.0
a0711840,5,6.0
a0851930,8,13.0
a0213100,2,6.0
a0695629,7,8.0
a0432846,2,2.0
a0485298,0,0.0
a0452102,38,36.0
a0742428,4,0.0
a0000024,16,25.0
a0003506,11,27.0
a0712947,1,9.0
a0141961,6,10.0
a0281869,1,1.0
a0215269,3,0.0
a0285090,9,9.0
a0001178,5,3.0
a0903049,7,6.0
a0625458,2,3.0
a0825434,3,2.0
a0001047,13,12.0
a0000519,13,35.0
a0192446,0,2.0
a0002194,23,44.0
a0902939,1,3.0
a0000983,28,35.0
a0005062,21,7.0
a0037708,3,16.0
a0003031,1,4.0
a0651900,13,11.0
a0743239,5,6.0
a0367547,4,0.0
a0834201,0,1.0
a0418883,1,2.0
a0517514,2,0.0
a0005367,3,7.0
a0805965,0,1.0
a0058045,2,2.0
a0075528,2,11.0
a0028297,3,4.0
a0000659,49,68.0
a0512862,26,12.0
a0000019,60,44.0
a0541391,26,7.0
a0001885,93,102.0
a0936374,3,3.0
a0893659,10,12.0
a0000126,51,52.0
a0296144,23,11.0
a0213329,0,0.0
a0736778,0,0.0
a0101385,1,7.0
a0003418,1,3.0
a0002175,1,3.0
a0518719,1,3.0
a0657853,0,1.0
a0000464,32,54.0
a0716257,2,8.0
a0371852,0,0.0
a0152469,5,7.0
a0240995,8,7.0
a0000853,15,12.0
a0644467,4,0.0
a0936404,35,26.0
a0006445,36,34.0
a0667630,0,0.0
a0943177,25,6.0
a0485871,2,2.0
a0002417,1,0.0
a0911486,3,9.0
a0280463,1,1.0
a0894776,0,1.0
a0476900,0,0.0
a0000158,87,181.0
a0192090,1,2.0
a0593610,6,1.0
a0038906,1,4.0
a0001392,109,124.0
a0836430,7,7.0
a0634240,122,195.0
a0560370,0,0.0
a0608084,1,4.0
a0006452,22,31.0
a0650561,0,1.0
a0840905,38,16.0
a0918873,0,2.0
a0591171,3,3.0
a0587277,4,3.0
a0151066,33,28.0
a0225416,9,19.0
a0001904,1,5.0
a0191109,15,14.0
a0295243,17,16.0
a0001528,23,31.0
a0108745,3,13.0
a0059106,1,1.0
a0813583,2,7.0
a0101055,0,0.0
a0005738,2,4.0
a0716585,7,1.0
a0001676,9,14.0
a0835799,3,5.0
a0541677,2,0.0
a0001845,58,55.0
a0814085,1,2.0
a0957453,2,0.0
a0888083,2,2.0
a0517597,3,11.0
a0779265,1,6.0
a0870186,7,7.0
a0930782,2,9.0
a0000466,42,28.0
a0910737,0,1.0
a0728688,3,14.0
a0671210,2,5.0
a0389514,1,2.0
a0415245,2,23.0
a0330057,2,7.0
a0001252,7,15.0
a0240627,0,0.0
a0181741,9,12.0
a0002174,7,6.0
a0213983,1,0.0
a0280901,5,9.0
a0794791,7,5.0
a0791672,3,4.0
a0001837,36,52.0
a0005618,0,3.0
a0848414,11,3.0
a0607407,1,7.0
a0826164,0,0.0
a0504495,3,0.0
a0291442,0,1.0
a0720000,1,2.0
a0612322,5,11.0
a0122653,8,5.0
a0751221,5,0.0
a0113164,0,1.0
a0595131,9,8.0
a0718031,6,9.0
a0104193,0,0.0
a0000576,73,95.0
a0950000,0,2.0
a0000487,98,90.0
a0802501,19,16.0
a0001060,6,21.0
a0242945,5,1.0
a0088397,12,13.0
a0445033,0,0.0
a0219720,2,7.0
a0049975,1,4.0
a0316592,0,1.0
a0001429,52,40.0
a0910905,5,0.0
a0097379,0,1.0
a0308376,6,5.0
a0001345,43,34.0
a0818639,2,6.0
a0141033,3,5.0
a0538533,17,14.0
a0000186,54,63.0
a0513165,1,4.0
a0453832,3,3.0
a0401680,1,1.0
a0001779,19,21.0
a0504496,2,1.0
a0775447,9,16.0
a0001460,6,14.0
a0413875,13,10.0
a0240987,2,3.0
a0325776,1,2.0
a0000976,2,5.0
a0003638,4,0.0
a0614276,2,1.0
a0487567,0,2.0
nan,0,0.0
a0712444,0,1.0
a0509409,0,1.0
a0146341,21,11.0
a0677953,1,2.0
a0188521,1,3.0
a0487237,4,10.0
