movieId,title,genres,director
m1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",a0005124
m2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",a0002653
m3,Grumpier Old Men (1995),"['Comedy', 'Romance']",a0222043
m4,Waiting to Exhale (1995),"['Comedy', 'Drama']",a0001845
m5,Father of the Bride Part II (1995),['Comedy'],a0796124
m6,Heat (1995),"['Action', 'Crime', 'Thriller']",a0000520
m7,Sabrina (1995),"['Comedy', 'Romance']",a0001628
m8,Tom and Huck (1995),"['Adventure', ""Children's""]",a0382072
m9,Sudden Death (1995),['Action'],a0001382
m10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",a0132709
m11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",a0001661
m12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",a0000316
m13,Balto (1995),"['Animation', ""Children's""]",a0920425
m14,Nixon (1995),['Drama'],a0000231
m15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",a0001317
m16,Casino (1995),"['Drama', 'Thriller']",a0000217
m17,Sense and Sensibility (1995),"['Drama', 'Romance']",a0000487
m18,Four Rooms (1995),['Thriller'],a0005062
m19,Ace Ventura: When Nature Calls (1995),['Comedy'],a0644203
m20,Money Train (1995),['Action'],a0747849
m21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",a0001756
m22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",a0000750
m23,Assassins (1995),['Thriller'],a0001149
m24,Powder (1995),"['Drama', 'Sci-Fi']",a0759207
m25,Leaving Las Vegas (1995),"['Drama', 'Romance']",a0001214
m26,Othello (1995),['Drama'],a0662529
m27,Now and Then (1995),['Drama'],a0322128
m28,Persuasion (1995),['Romance'],a0585011
m29,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",a0000466
m30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],a0955443
m31,Dangerous Minds (1995),['Drama'],a0808807
m32,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",a0000416
